﻿Konu,Soru,Gerçek_Cevap,ChatGPT_Cevap    
Şikayet Kontrolü,Güvenilir olmayan web siteleri nasıl tespit edilir?,"Tüm kriterlerin sağlanması yeterli olmayabilir, bu durumda o site ile ilgili şikayet olup olmadığı basit bir arama ile tespit edilebilir.","Güvenilir olmayan web siteleri genellikle HTTPS yerine HTTP kullanır, güncel olmayan veya geçersiz bir SSL sertifikasına sahiptir ve tarayıcılar tarafından güvenli değil uyarısı verir. Ayrıca, aşırı sayıda pop-up reklam, kötü yazım ve dil bilgisi hataları, eksik iletişim bilgileri ve şüpheli alan adı uzantıları gibi belirtiler de güvenilir olmadıklarını gösterebilir."
Pazarlama İzni,Web siteleri kullanıcı verilerini nasıl kullanır?,Bazı web siteleri üyelik sözleşmelerine maddeler yerleştirerek kullanıcı verilerinin reklam ve pazarlama amaçlı satılması için izin alır. Kullanıcı sözleşmesi dikkatlice okunmalıdır.,"Web siteleri kullanıcı verilerini genellikle kullanıcı deneyimini kişiselleştirmek, hedefli reklamlar sunmak ve site performansını analiz etmek için kullanır. Ayrıca, bu veriler ürün geliştirme ve pazarlama stratejilerini optimize etmek amacıyla da değerlendirilebilir."
Kurtarma Listesi,2FA'da kurtarma seçenekleri nelerdir?,Bazı platformlar hesap çalınma durumuna karşı güvenilen kişilerden oluşan bir liste oluşturma imkanı sunar. Kurtarma e-posta adresi de belirlenebilir.,"2FA'da kurtarma seçenekleri genellikle yedek kodlar, kurtarma e-posta adresi veya telefon numarası ve bazı durumlarda güvenlik soruları veya kimlik doğrulama uygulamalarının yedekleme özellikleri içerir. Ayrıca, bazı hizmetler destek ekibiyle iletişime geçerek kimlik doğrulama sürecini yeniden başlatma imkanı sunabilir."
Doğrudan Erişim,Web sitelerine doğrudan adres yazmanın avantajı nedir?,Adres satırına web sitesinin tam adresini yazarak erişmek güvenliği önemli ölçüde artırır. Arama motoru manipülasyonundan korunulur.,"Web sitelerine doğrudan adres yazmak, kullanıcıyı kimlik avı (phishing) saldırılarından korur ve yanlış yönlendirilmiş bağlantılar veya zararlı siteler üzerinden gelebilecek güvenlik tehditlerini azaltır. Ayrıca, kullanıcıların doğru ve güvenilir bir kaynağa erişmesini sağlar."
Siber Güvenlik Kavramları,Risk nedir?,Sistemlerdeki açıkların tehditler ile buluştuğu noktada risk oluşur.,"Risk, bir varlığın maruz kalabileceği tehditlerin gerçekleşme olasılığı ile bu tehditlerin gerçekleşmesi durumunda ortaya çıkacak potansiyel zararın birleşimidir. Siber güvenlik bağlamında, risk genellikle güvenlik açıkları, tehdit aktörleri ve potansiyel etkiler üzerinden değerlendirilir."
Siber Güvenlik Kavramları,İstismar (Exploit) kodu nedir?,"Zafiyetlerin kullanılarak uzak makinaya erişim sağlanması, bilgi sızdırılması ya da farklı amaçlar ile hazırlanmış yazılımlardır.","İstismar (exploit) kodu, bir yazılım veya sistemdeki güvenlik açığından yararlanarak yetkisiz erişim sağlamak veya sistemi manipüle etmek amacıyla yazılmış özel bir koddur. Bu kod, genellikle bir zafiyeti tetikleyerek saldırganın hedef sistem üzerinde kontrol elde etmesine olanak tanır."
Siber Güvenlik Kavramları,Sunucu taraflı istismar kodları (Server Side Exploits) ne işe yarar?,Sunucuların zafiyetlerinden yararlanılmak üzere kullanılan kodlardır.,"Sunucu taraflı istismar kodları, bir sunucunun yazılımındaki güvenlik açıklarını hedef alarak yetkisiz erişim sağlamak veya sunucuda zararlı işlemler gerçekleştirmek amacıyla kullanılır. Bu tür istismarlar, genellikle sunucu üzerinde çalışan uygulamaların veya hizmetlerin güvenlik açıklarından yararlanarak sistem kontrolünü ele geçirmeyi hedefler."
Siber Güvenlik Kavramları,Kullanıcı İstismar Kodları (Client Side Exploits) nasıl çalışır?,"İnternet tarayıcı gibi yazılımların açıklarından faydalanarak, zararlı kodların son kullanıcı tarafından yüklenmesi ile istismar edilmesidir.","Kullanıcı İstismar Kodları, hedef sistemdeki bir yazılımın zafiyetinden yararlanarak kötü amaçlı kodun kullanıcının tarayıcısı veya başka bir istemci uygulaması aracılığıyla çalıştırılmasını sağlar. Genellikle sosyal mühendislik teknikleriyle kullanıcıyı kandırarak zararlı bir web sitesine yönlendirme veya dosya açtırma yoluyla tetiklenir."
Siber Güvenlik Kavramları,Yerel Yetki Yükseltme (Local Privilege Escalation) nedir?,Bir sisteme normal kullanıcı yetkisiyle erişim yapıldıktan sonra yetkiyi artırma işlemine olanak sağlayan yazılımlardır.,"Yerel Yetki Yükseltme, bir kullanıcının veya sürecin, sistemde sahip olduğu mevcut yetkileri aşarak daha yüksek düzeyde yetkilere erişim sağlamasıdır. Bu durum genellikle sistemdeki güvenlik açıklarından yararlanılarak gerçekleştirilir ve saldırganın sistem üzerinde daha fazla kontrol elde etmesine olanak tanır."
Siber Güvenlik Kavramları,Metasploit ne amaçla kullanılır?,İstismar kodlarını içerisinde bulunduran ve bu kodları kullanmayı sağlayan yazılımlardır.,"Metasploit, siber güvenlik uzmanları tarafından sistemlerdeki güvenlik açıklarını tespit etmek, doğrulamak ve bu açıkları istismar ederek güvenlik testleri gerçekleştirmek amacıyla kullanılır. Ayrıca, eğitim ve araştırma amaçlı olarak sızma testi senaryoları oluşturmak için de kullanılır."
Siber Güvenlik Kavramları,Siber saldırıda Yük (Payload) nedir?,"Hedef makinaya erişim kazanan saldırganın, istediği çalışmaları yapabilmesi için sisteme yüklediği yazılımlardır.","Siber saldırıda yük (payload), hedef sistem üzerinde belirli bir etki yaratmak amacıyla kullanılan kötü amaçlı kod veya veri parçasıdır. Genellikle bir güvenlik açığı veya zafiyet üzerinden sisteme sızarak, veri çalmak, sistem kontrolünü ele geçirmek veya zarar vermek gibi amaçlarla çalıştırılır."
Siber Güvenlik Kavramları,Yardımcı araç (Auxiliary) siber güvenlikte ne yapar?,"Sisteme sızılma aşamasında port tarama, şifresiz hesapları bulma veya basit şifreleri kırmak için kullanılır.","Yardımcı araçlar (auxiliary tools), siber güvenlikte genellikle keşif, bilgi toplama, zafiyet tarama veya sistem analizi gibi görevleri desteklemek için kullanılır. Bu araçlar, doğrudan saldırı gerçekleştirmeden sistemlerin güvenlik durumunu değerlendirmeye ve güvenlik açıklarını belirlemeye yardımcı olur."
Siber Güvenlik Kavramları,Kodlayıcı (Encoder) neden kullanılır?,"Antivirüs, IDS/IPS ve Firewall gibi güvenlik sistemlerini atlatmak amacıyla yükün (payload) şifrelenmesini sağlamak için kullanılır.","Kodlayıcılar (encoder), veriyi belirli bir format veya protokole dönüştürerek iletim, depolama veya işleme süreçlerini optimize etmek için kullanılır. Ayrıca, veri sıkıştırma ve şifreleme gibi işlemler için de kodlayıcılar kullanılabilir."
Siber Güvenlik Kavramları,Zararlı yazılım (Malware) tanımı nedir?,"Kullanıcıların bilgisi olmadan sisteme sızıp verileri değiştirebilen, sistemi bozabilen ve kişisel bilgilere izinsiz erişim sağlayan tehlikeli yazılımlardır.","Zararlı yazılım (Malware), bilgisayar sistemlerine zarar vermek, veri çalmak veya yetkisiz erişim sağlamak amacıyla tasarlanmış kötü niyetli yazılımlardır. Türleri arasında virüsler, solucanlar, truva atları, fidye yazılımları ve casus yazılımlar bulunur."
Siber Güvenlik Kavramları,Zararlı yazılımların temel hedefi nedir?,"Verilere ve sistemlere zarar vermek, verileri çalmak veya yasadışı bir eylemde bulunarak genellikle finansal kazanç sağlamaktır.","Zararlı yazılımların temel hedefi, sistemlere yetkisiz erişim sağlamak, veri çalmak, sistem işleyişini bozmak veya fidye talep etmek gibi kötü niyetli amaçlarla kullanıcılara zarar vermektir. Ayrıca, bu yazılımlar genellikle saldırganların finansal kazanç elde etmesine veya bilgi toplamasına olanak tanır."
Siber Güvenlik Kavramları,Bilgisayar virüslerinin en temel özelliği nedir?,Kendini kopyalaması (çoğalma) ve başka bilgisayarlara kolaylıkla bulaşmasıdır.,"Bilgisayar virüslerinin en temel özelliği, kendilerini bir ana program veya dosyaya ekleyerek çoğalabilmeleri ve bu süreçte diğer dosyalara veya sistemlere bulaşabilmeleridir. Bu bulaşma süreci, genellikle kullanıcı etkileşimi veya belirli bir tetikleyici olayla başlar."
Siber Güvenlik Kavramları,Virüsler çalışmak için neye ihtiyaç duyar?,Belge açma veya e-posta eki çalıştırma gibi bir kullanıcı etkileşimi olmadan çalışmazlar.,"Virüsler çalışmak için bir ana bilgisayara veya programa ihtiyaç duyarlar; bu sayede kendilerini çoğaltabilir ve çalıştırabilirler. Ayrıca, çalışabilmeleri için genellikle kullanıcı etkileşimi veya belirli bir tetikleyici olay gereklidir."
Siber Güvenlik Kavramları,İlk bilgisayar virüsü hangisidir?,"ARPAnet'te deneysel amaçla yazılan ve 'I'm the creeper, catch me if you can!' mesajını gösteren Creeper virüsüdür.","İlk bilgisayar virüsü, 1971 yılında geliştirilen ""Creeper"" virüsüdür ve ARPANET üzerinde çalışarak sistemlere ""I'm the creeper, catch me if you can!"" mesajını bırakmıştır."
Siber Güvenlik Kavramları,İlk virüs olan Creeper'ı silmek için ne yazılmıştır?,Creeper virüsünü tespit edip silmesi amacıyla Reaper adlı bir program yazılmıştır.,"Creeper virüsünü silmek için ""Reaper"" adlı bir program yazılmıştır. Reaper, Creeper'ı tespit edip sistemden kaldırmak amacıyla geliştirilmiştir."
Siber Güvenlik Kavramları,Bilgisayarda virüs olduğunun belirtileri nelerdir?,"Bilgisayarın yavaşlaması, harici disklerin çalışmaması, olağandışı mesajlar, programların çökmesi ve dosya isimlerinin değişmesi gibi belirtiler görülür.","Bilgisayarda virüs olduğunun belirtileri arasında sistemin yavaşlaması, beklenmedik hata mesajları, istenmeyen pop-up reklamlar, dosyaların kaybolması veya bozulması ve bilinmeyen programların kendi kendine çalışması sayılabilir. Ayrıca, internet trafiğinde anormal artışlar ve güvenlik yazılımlarının devre dışı kalması da virüs belirtisi olabilir."
Siber Güvenlik Kavramları,Solucan (Worm) nedir?,"Kullanıcı etkileşimine ihtiyaç duymadan, ağdaki açıklardan yararlanarak kendi kendini çoğaltabilen zararlı yazılımlardır.","Solucan (Worm), ağlar üzerinden kendini çoğaltarak yayılan ve genellikle kullanıcı etkileşimi gerektirmeyen bir tür kötü amaçlı yazılımdır. Sistem kaynaklarını tüketebilir, ağ trafiğini artırabilir ve diğer zararlı yazılımların yüklenmesine zemin hazırlayabilir."
Siber Güvenlik Kavramları,Solucanlar ile virüsler arasındaki fark nedir?,"Virüsler çalışmak için kullanıcı etkileşimine ihtiyaç duyarken, solucanlar kendi kendilerine çalışabilir ve yayılabilirler.","Solucanlar, ağ üzerinden kendilerini otomatik olarak yayabilen ve çoğalabilen zararlı yazılımlardır, virüsler ise bir dosyaya veya programa bulaşarak kullanıcı etkileşimi ile yayılır. Solucanlar genellikle ağ trafiğini artırarak sistemleri yavaşlatırken, virüsler genellikle dosyaları bozma veya veri çalma gibi zararlar verir."
Siber Güvenlik Kavramları,Code Red solucanının etkisi ne olmuştur?,2001 yılında 19 saat içinde 300.000'den fazla sunucuya bulaşmayı başarmıştır.,"Code Red solucanı, 2001 yılında Microsoft IIS web sunucularını hedef alarak dünya genelinde yüz binlerce sunucuyu etkilemiş ve tahmini 2.6 milyar dolarlık ekonomik zarara yol açmıştır. Solucan, sunucuları aşırı yükleyerek hizmet kesintilerine neden olmuş ve web sitelerinin erişilemez hale gelmesine sebep olmuştur."
Siber Güvenlik Kavramları,SQL Slammer solucanı ne kadar sürede yayıldı?,"En bulaşıcı noktasında her 8,5 saniyede ikiye katlanarak 30 dakika içinde 250.000'den fazla bilgisayara bulaşmıştır.","SQL Slammer solucanı, 25 Ocak 2003 tarihinde yayıldıktan sonra yaklaşık 10 dakika içinde dünya çapında yayıldı."
Siber Güvenlik Kavramları,Solucan saldırıları hangi üç bileşenden oluşur?,"Güvenlik zafiyetini etkinleştirme, yayılma mekanizması ve ayrıcalıklı erişim sağlayacak kötü niyetli kodlar (payload).","Solucan saldırıları genellikle üç ana bileşenden oluşur: yayılma mekanizması, yük (payload) ve kontrol mekanizması. Yayılma mekanizması, solucanın ağ üzerinde nasıl yayıldığını belirler; yük, solucanın gerçekleştirdiği zararlı eylemleri içerir; kontrol mekanizması ise saldırganın solucanı uzaktan yönetmesini sağlar."
Siber Güvenlik Kavramları,Truva Atı (Trojan) nedir?,Yararlı gibi görünen ancak arka planda sisteme zarar veren kötü amaçlı yazılımlardır.,"Truva Atı (Trojan), zararlı yazılımın meşru bir yazılım gibi görünerek sisteme sızmasını sağlayan bir tür kötü amaçlı yazılımdır. Genellikle kullanıcıların farkında olmadan zararlı kodu çalıştırmasına neden olur ve sistemde arka kapılar açarak veri çalabilir veya başka zararlı işlemler gerçekleştirebilir."
Siber Güvenlik Kavramları,Truva atları sisteme nasıl bulaşır?,"Genellikle e-posta ekleri, hacklenmiş web siteleri veya kullanıcıların güvenli sanarak indirdiği dosyalar aracılığıyla bulaşır.","Truva atları genellikle kullanıcıların güvenilir bir yazılım veya dosya olduğunu düşündüğü zararlı yazılımlar olarak sisteme bulaşır, bu da genellikle e-posta ekleri, sahte yazılım güncellemeleri veya kötü niyetli web siteleri aracılığıyla gerçekleşir. Kullanıcıların bu dosyaları indirip çalıştırması, Truva atının sisteme sızmasına ve zararlı faaliyetler yürütmesine olanak tanır."
Siber Güvenlik Kavramları,Truva atları tespit edilme konusunda nasıldır?,Normal virüsler gibi kolay tespit edilemezler ve bazen antivirüs programlarının içine saklanabilirler.,"Truva atları, genellikle meşru yazılımlar gibi göründükleri için tespit edilmeleri zordur ve genellikle davranışsal analiz veya imza tabanlı algılama yöntemleriyle tespit edilirler. Ancak, sürekli güncellenen ve gelişmiş tespit yöntemleri gerektiren karmaşık varyantlar oluşturulabilir."
Siber Güvenlik Kavramları,Truva atları sistemde ne gibi zararlar verir?,"İnterneti yavaşlatabilir, dosyaları silebilir, değiştirebilir veya keylogger özelliğiyle şifreleri çalabilir.","Truva atları, sistemde arka kapılar açarak yetkisiz erişime olanak tanır, hassas verileri çalar ve kötü amaçlı yazılımların yüklenmesine zemin hazırlar. Ayrıca, sistem performansını düşürebilir ve kullanıcıların gizliliğini tehlikeye atabilir."
Siber Güvenlik Kavramları,Fidye Yazılımı (Ransomware) nedir?,Sisteme sızarak dosyaları şifreleyen ve verilere erişimi engelleyip şifreyi çözmek için kullanıcıdan para talep eden yazılımdır.,"Fidye yazılımı, bir bilgisayar sistemine veya dosyalara erişimi engelleyen ve bu erişimi geri vermek için fidye talep eden kötü amaçlı yazılımdır. Genellikle dosyaları şifreleyerek veya sistemin çalışmasını kısıtlayarak kullanıcılardan para talep eder."
Siber Güvenlik Kavramları,Fidye yazılımları neden ödeme için Bitcoin ister?,"Merkezi olmayan, anonim ve takibi zor bir para birimi olduğu için saldırganlar kimliklerini gizlemek amacıyla Bitcoin tercih eder.","Fidye yazılımları, Bitcoin'i tercih eder çünkü Bitcoin, anonimlik sağlar ve işlemlerin izlenmesini zorlaştırır. Ayrıca, Bitcoin'in küresel olarak kabul görmesi ve merkezi bir otoriteye bağlı olmaması, fidye yazılımı saldırganları için cazip hale getirir."
Siber Güvenlik Kavramları,Fidye yazılımlarından korunmak için en etkili yöntemlerden biri nedir?,"Düzenli olarak dosyaları yedeklemektir. Güncel yedekler varsa, sistem temizlendikten sonra veriler geri yüklenebilir.","Fidye yazılımlarından korunmanın en etkili yöntemlerinden biri, düzenli olarak yedekleme yaparak verilerinizi güvenli bir ortamda saklamaktır. Ayrıca, sistem ve yazılımlarınızı güncel tutarak bilinen güvenlik açıklarını kapatmak da önemlidir."
Siber Güvenlik Kavramları,Casus Yazılım (Spyware) ne yapar?,"Kullanıcının izni olmadan etkinliklerini izler, bilgi toplar ve bu bilgileri üçüncü taraflara gönderir.","Casus yazılım (spyware), bir kullanıcının bilgisayar veya mobil cihazındaki aktiviteleri izleyerek, kişisel bilgileri ve hassas verileri gizlice toplar ve bu bilgileri üçüncü taraflara iletir. Genellikle kullanıcıdan habersiz olarak çalışır ve veri hırsızlığı, kimlik avı veya izinsiz gözetim gibi kötü niyetli amaçlar için kullanılır."
Siber Güvenlik Kavramları,Reklam Yazılımları (Adware) amacı nedir?,Kullanıcının ilgi alanlarını analiz edip can sıkıcı pop-up reklamlar göstererek gelir elde etmektir.,"Reklam yazılımları (adware), kullanıcılara istenmeyen reklamlar göstermek amacıyla tasarlanmış yazılımlardır ve genellikle kullanıcı davranışlarını izleyerek hedeflenmiş reklamlar sunmayı hedefler. Bu yazılımlar, geliştiricilerine reklam gelirleri sağlamak için kullanılır."
Siber Güvenlik Kavramları,Korku Yazılımları (Scareware) nasıl çalışır?,"Kullanıcıda sahte bir tehdit veya korku algısı oluşturarak, onu gereksiz bir eyleme veya ödemeye zorlayan sosyal mühendislik ürünüdür.","Korku yazılımları, kullanıcıları sahte güvenlik uyarıları veya sistem hataları ile korkutarak, genellikle sahte antivirüs yazılımları veya gereksiz hizmetler satın almaya yönlendiren kötü amaçlı yazılımlardır. Bu yazılımlar, kullanıcıların bilgisayarlarında ciddi bir sorun olduğunu düşündürerek, hızlı ve panik halinde karar vermelerini sağlamayı hedefler."
Siber Güvenlik Kavramları,Tuş Tutucu (Keylogger) nedir?,Klavyeden basılan her tuşu kaydeden ve bu kayıtları saldırgana göndererek şifre ve kredi kartı bilgilerinin çalınmasını sağlayan programlardır.,"Tuş tutucu (keylogger), bir kullanıcının klavye girişlerini gizlice kaydeden ve bu bilgileri saldırganlara ileten kötü amaçlı yazılımdır. Genellikle kullanıcı adı, şifre ve diğer hassas bilgileri çalmak için kullanılır."
Siber Güvenlik Kavramları,Rootkit nedir?,Yetkisiz bir kullanıcının sisteme girmesini ve varlığını gizleyerek bilgisayarın kontrolünü ele geçirmesini sağlayan karmaşık zararlı yazılımdır.,"Rootkit, bir bilgisayar sistemine yetkisiz erişim sağlamak ve bu erişimi gizlemek amacıyla kullanılan kötü amaçlı yazılımlardır. Genellikle sistem dosyalarını, kayıt defterlerini ve diğer işletim sistemi bileşenlerini manipüle ederek varlıklarını gizlerler."
Siber Güvenlik Kavramları,Rootkitlerin tespit edilmesi neden zordur?,Genellikle işletim sistemi çekirdeğine veya önyükleme kayıtlarına yerleştikleri ve kendilerini gizledikleri için standart antivirüslerce zor tespit edilirler.,"Rootkitler, işletim sisteminin çekirdek seviyesinde çalışarak kendilerini ve zararlı aktivitelerini gizler, bu da geleneksel antivirüs yazılımlarının ve güvenlik araçlarının onları algılamasını zorlaştırır. Ayrıca, rootkitler genellikle sistem çağrılarını ve çekirdek yapılarını manipüle ederek varlıklarını ve etkinliklerini maskeleyebilir."
Siber Güvenlik Kavramları,Kullanıcı Modu Rootkitleri neyi hedefler?,"Kullanıcı düzeyinde çalışır ve Word, Paint gibi standart uygulama dosyalarını değiştirerek çalışır.","Kullanıcı modu rootkitleri, işletim sisteminin kullanıcı alanında çalışan uygulamaları ve süreçleri hedef alarak, kötü amaçlı yazılımların tespit edilmesini zorlaştırmak için sistem çağrılarını veya API'leri manipüle eder. Bu tür rootkitler, genellikle antivirüs yazılımlarını ve diğer güvenlik araçlarını atlatmak amacıyla çalışır."
Siber Güvenlik Kavramları,Çekirdek Modu (Kernel) Rootkitleri nedir?,İşletim sisteminin çekirdeğini hedef alarak sisteme tam kontrol sağlayan ve tespiti en zor olan rootkit türüdür.,"Çekirdek modu rootkitleri, işletim sisteminin çekirdeğine yerleşerek sistem çağrılarını, veri yapıları ve çekirdek işlevlerini gizlice değiştiren kötü amaçlı yazılımlardır. Bu tür rootkitler, yüksek ayrıcalık seviyeleri nedeniyle tespit edilmesi ve kaldırılması zor olan derinlemesine bir sistem kontrolü sağlar."
Siber Güvenlik Kavramları,Önyükleyici (Bootloader) Rootkitleri ne zaman çalışır?,"Bilgisayar açıldığında işletim sistemi yüklenmeden önce, Ana Önyükleme Kaydına (MBR) bulaşarak çalışır.","Önyükleyici (Bootloader) rootkitleri, bilgisayarın açılış sürecinde, işletim sistemi yüklenmeden önce çalışır. Bu, onlara sistem üzerinde derin bir kontrol ve gizlenme yeteneği sağlar."
Siber Güvenlik Kavramları,Hafıza (Memory) Rootkitlerinin özelliği nedir?,"Bilgisayarın RAM belleğinde gizlenirler, kalıcı değillerdir ve bilgisayar kapatıldığında silinirler.","Hafıza rootkitleri, sistem belleğinde çalışarak kalıcı bir iz bırakmadan kötü amaçlı faaliyetler gerçekleştiren yazılımlardır. Genellikle yeniden başlatma sonrası kaybolurlar, çünkü yalnızca RAM üzerinde çalışırlar ve diskte kalıcı bir iz bırakmazlar."
Siber Güvenlik Kavramları,İmza Tabanlı Tespit tekniğinin zayıf yönü nedir?,"Sadece daha önceden bilinen ve imzası tanımlanmış rootkitleri tespit edebilir, yeni tehditlere karşı yetersizdir.","İmza Tabanlı Tespit tekniği, yalnızca önceden tanımlanmış ve veritabanında bulunan tehditleri tespit edebilir, bu nedenle yeni veya bilinmeyen tehditlere karşı etkisizdir. Ayrıca, imza güncellemeleri gerektirir ve bu da zaman alıcı olabilir."
Siber Güvenlik Kavramları,Davranış Tabanlı Tespit tekniği nasıl çalışır?,Sistemin normal davranışındaki anormallikleri izler. Bilinmeyen tehditleri bulabilir ancak yanlış alarma (false positive) neden olabilir.,"Davranış Tabanlı Tespit, sistemdeki normal kullanıcı ve sistem davranışlarını öğrenerek bu davranışlardan sapmaları tespit eder; anormal aktiviteleri belirlemek için istatistiksel analiz ve makine öğrenimi algoritmaları kullanır. Bu teknik, bilinen imza tabanlı tehditlerin ötesinde, daha önce görülmemiş veya sıfır gün saldırılarını da tespit edebilir."
Siber Güvenlik Kavramları,Bilgi Güvenliğinin üç temel unsuru (CIA) nedir?,"Gizlilik (Confidentiality), Bütünlük (Integrity) ve Erişilebilirlik (Availability).","Bilgi Güvenliğinin üç temel unsuru Gizlilik (Confidentiality), Bütünlük (Integrity) ve Erişilebilirlik (Availability) olarak tanımlanır. Bu unsurlar, bilgilerin yetkisiz erişimden korunmasını, doğruluğunun ve tutarlılığının sağlanmasını ve ihtiyaç duyulduğunda erişilebilir olmasını hedefler."
Siber Güvenlik Kavramları,Bilgi güvenliğinde 'Gizlilik' ne anlama gelir?,Bilgilerin yetkisiz kişilerin eline geçmesinin veya ifşa edilmesinin önlenmesidir.,"Bilgi güvenliğinde 'Gizlilik', yetkisiz kişilerin veya sistemlerin hassas bilgilere erişimini engelleyerek bu bilgilerin korunmasını ifade eder. Bu, veri şifreleme, erişim kontrolü ve kimlik doğrulama gibi tekniklerle sağlanır."
Siber Güvenlik Kavramları,Bilgi güvenliğinde 'Bütünlük' ne anlama gelir?,Bilginin yetkisiz kişilerce değiştirilmemesi ve doğruluğunun korunmasıdır.,"Bilgi güvenliğinde 'bütünlük', verinin yetkisiz değişikliklere karşı korunmasını ve doğruluğunun, tutarlılığının korunmasını ifade eder. Bu, verinin yalnızca yetkili kişiler tarafından ve yetkili yollarla değiştirilmesini sağlar."
Siber Güvenlik Kavramları,Bilgi güvenliğinde 'Erişilebilirlik' ne anlama gelir?,Bilgiye ihtiyaç duyulduğunda yetkili kişilerin erişim sağlayabilmesidir.,"Erişilebilirlik, yetkili kullanıcıların ihtiyaç duydukları bilgilere ve kaynaklara kesintisiz ve zamanında erişebilmesini sağlamaktır. Bu, sistemlerin ve verilerin sürekli kullanılabilir olmasını garanti altına almayı içerir."
Web Güvenliği,Web sitelerinde kullanıcı kaynaklı en büyük güvenlik hatası nedir?,Kullanıcıların zafiyet yaratacak şekilde basit şifreler seçmesi ve aynı şifreyi birçok sitede kullanmasıdır.,"Kullanıcı kaynaklı en büyük güvenlik hatası, zayıf veya tekrar kullanılan parolaların kullanılmasıdır. Bu durum, kimlik avı saldırılarına ve hesap ele geçirmelere karşı savunmasızlık yaratır."
Web Güvenliği,SQL Enjeksiyon (Injection) zafiyeti nedir?,"Web formları üzerinden girilen verilerin kontrol edilmemesi sonucu, saldırganın veritabanı sorgularına müdahale edebilmesidir.","SQL Enjeksiyon, bir saldırganın bir uygulamanın veri tabanına zararlı SQL kodları enjekte ederek yetkisiz veri erişimi, veri manipülasyonu veya veri tabanı yapısında değişiklik yapmasına olanak tanıyan bir güvenlik zafiyetidir. Bu zafiyet, genellikle kullanıcı girdilerinin yeterince doğrulanmadığı veya filtrelenmediği durumlarda ortaya çıkar."
Web Güvenliği,SQL Enjeksiyon saldırısı ile neler yapılabilir?,"Yönetici şifreleri ele geçirilebilir, veritabanındaki tüm veriler çalınabilir veya silinebilir.","SQL Enjeksiyon saldırısı, bir saldırganın veritabanına yetkisiz erişim sağlamasına, hassas verileri çalmasına, veritabanını manipüle etmesine veya sistem üzerinde yetki yükseltmesine olanak tanır. Ayrıca, saldırganlar bu yöntemle veritabanı üzerinde zararlı komutlar çalıştırarak veri kaybına veya sistemin çökmesine neden olabilirler."
Web Güvenliği,XSS (Cross Site Script) zafiyeti nedir?,"Kullanıcıdan alınan verilerin filtrelenmemesi sonucu, saldırganın web sayfasında zararlı JavaScript kodları çalıştırabilmesidir.","XSS (Cross-Site Scripting), bir saldırganın kötü niyetli kodu (genellikle JavaScript) bir web uygulamasına enjekte ederek, diğer kullanıcıların tarayıcılarında çalıştırmasına olanak tanıyan bir güvenlik açığıdır. Bu zafiyet, kullanıcıların oturum bilgileri, çerezler veya diğer hassas verilerinin çalınmasına yol açabilir."
Web Güvenliği,iFrame Zafiyeti neye sebep olur?,"Web sitesi içerisinde, saldırganın kontrolündeki başka bir zararlı sitenin veya sayfanın görüntülenmesine neden olur.","iFrame zafiyeti, saldırganların kötü amaçlı içerikleri bir web sayfasına gizlice yerleştirmesine olanak tanır ve bu durum kullanıcıların kimlik avı saldırılarına veya zararlı yazılımlara maruz kalmasına sebep olabilir. Bu tür zafiyetler, web sayfasının güvenliğini tehlikeye atarak kullanıcı verilerinin çalınmasına yol açabilir."
Web Güvenliği,Web güvenliğinde SSL sertifikasının önemi nedir?,Kullanıcı ile web sitesi arasındaki iletişimi şifreleyerek kişisel bilgilerin çalınmasını engeller.,"SSL sertifikası, web sunucusu ile istemci arasında iletilen verilerin şifrelenmesini sağlayarak gizliliği ve bütünlüğü korur, ayrıca sunucunun kimliğini doğrulayarak kullanıcıların güvenli bir bağlantı kurmasını temin eder. Bu, özellikle hassas bilgilerin iletildiği e-ticaret ve bankacılık gibi uygulamalarda kritik öneme sahiptir."
Kriptolojiye Giriş,"Bilgisayar ağlarında ""AAA"" kavramı neleri kapsar?","Kimlik Doğrulama (Authentication), Yetkilendirme (Authorization) ve Hesap Denetimi (Accounting) özelliklerini kapsar.","AAA, bilgisayar ağlarında Kimlik Doğrulama (Authentication), Yetkilendirme (Authorization) ve Hesap Verilebilirlik (Accounting) süreçlerini kapsar. Bu kavram, kullanıcıların kimliklerini doğrulama, erişim izinlerini belirleme ve kullanıcı etkinliklerini izleme işlevlerini içerir."
Kriptolojiye Giriş,Siber güvenliğin hangi bileşenleri kriptolojik algoritmalarla sağlanır?,"Siber güvenliğin üçlü bileşenlerinden gizlilik ve bütünlük, kriptolojik algoritmalar kullanılarak sağlanmaktadır.","Siber güvenliğin gizlilik, bütünlük ve kimlik doğrulama bileşenleri kriptolojik algoritmalarla sağlanır. Bu algoritmalar, verilerin yetkisiz erişimden korunması, değişikliklerin tespit edilmesi ve kullanıcıların kimliklerinin doğrulanması için kullanılır."
Kriptolojiye Giriş,Sezar şifrelemesi nasıl çalışır?,"Mesajın gizliliğini sağlamak için harf kaydırma yöntemi kullanılır. Her harf, alfabedeki belirli bir sayı sonraki harf ile yer değiştirilir.","Sezar şifrelemesi, her harfi alfabede belirli bir sayı kadar kaydırarak şifreleme yapan basit bir yerine koyma şifreleme yöntemidir. Örneğin, bir kaydırma değeri olarak 3 kullanıldığında, ""A"" harfi ""D"" harfine, ""B"" harfi ""E"" harfine dönüşür."
